Categories of Institutes,Year,Religious priests in ISPRs,Religious priests in ISPRs - index numbers (base 2013 = 100),Yearly ordinations of religious priests in ISPRs,Yearly ordinations of religious priests ISPRs - index numbers (base 2013 = 100),Yearly defections of religious priests in ISPRs,Yearly defections of religious priests in ISPRs - index numbers (base 2013 = 100),Yearly deaths of religious priests in ISPRs,Yearly deaths of religious priests in ISPRs - index numbers (base 2013 = 100),Non-priest religious men in ISPRs (with temporary vows),Non-priest religious men in ISPRs (with temporary vows) - index numbers (base 2013 = 100),Non-priest religious men in ISPRs (with perpetual vows),Non-priest religious men in ISPRs (with perpetual vows) - index numbers (base 2013 = 100),Non-novice seminarians in ISPRs,Non-novice seminarians in ISPRs - index numbers (base 2013 = 100),Novice seminarians in ISPRs for men,Novice non-seminarians in ISPRs for men,ISPR institutes for men,ISPR houses for men,Bishop members of ISPRs for men,Priest members of ISPRs for men,Permanent deacon members of ISPRs for men,Seminarian members of ISPRs for men,Non-priest religious members of ISPRs for men,Total members of ISPRs for men,ISPR institutes for men - depending on the Congregation for the Eastern Churches,ISPR houses for men - depending on the Congregation for the Eastern Churches,Bishop members of ISPRs for men - depending on the Congregation for the Eastern Churches,Priest members of ISPRs for men - depending on the Congregation for the Eastern Churches,Permanent deacon members of ISPRs for men - depending on the Congregation for the Eastern Churches,Seminarian members of ISPRs for men - depending on the Congregation for the Eastern Churches,Non-priest religious members of ISPRs for men - depending on the Congregation for the Eastern Churches,Total members of ISPRs for men - depending on the Congregation for the Eastern Churches,ISPR institutes for men - depending on the Congregation for the Evangelization of Peoples,ISPR houses for men - depending on the Congregation for the Evangelization of Peoples,Bishop members of ISPRs for men - depending on the Congregation for the Evangelization of Peoples,Priest members of ISPRs for men - depending on the Congregation for the Evangelization of Peoples,Permanent deacon members of ISPRs for men - depending on the Congregation for the Evangelization of Peoples,Seminarian members of ISPRs for men - depending on the Congregation for the Evangelization of Peoples,Non-priest religious members of ISPRs for men - depending on the Congregation for the Evangelization of Peoples,Total members of ISPRs for men - depending on the Congregation for the Evangelization of Peoples,ISPR institutes for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Houses for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Bishop members of ISPRs for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Priest members of ISPRs for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Permanent deacon members of ISPRs for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Seminarian members of ISPRs for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Non-priest religious members of ISPRs for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Total members of ISPRs for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Novice seminarian members of ISPRs for men,Novice non-seminarian members of ISPRs for men,All novices in ISPRs for men,Novice seminarians in ISPRs for men - depending on the Congregation for the Eastern Churches,Novice non-seminarians in ISPRs for men- depending on the Congregation for the Eastern Churches,All novices in ISPRs for men - depending on the Congregation for the Eastern Churches,Novice seminarians in ISPRs for men - depending on the Congregation for the Evangelization of Peoples,Novice non-seminarians in ISPRs for men - depending on the Congregation for the Evangelization of Peoples,All novices in ISPRs for men - depending on the Congregation for the Evangelization of Peoples,Novice seminarians in ISPRs for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Novice non-seminarians in ISPRs for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,All novices in ISPRs for men - depending on the Congr. for the Inst. of Cons. Life and Soc. of Apos. Life,Priests in ISPRs for men on January 1,Yearly ordinations of priests in ISPRs for men,Yearly deaths of priests in ISPRs for men,Yearly defections of priests in ISPRs for men,Yearly variation in number of priests in ISPRs for men for other reasons,Yearly variation in number of priests in ISPRs for men (overall balance),Priests in ISPRs for men,Non-priest religious men and seminarians in ISPRs on January 1,Yearly professions of non-priest religious men and seminarians in ISPRs,Yearly ordinations of non-priest religious men and seminarians in ISPRs,Yearly departures of non-priest religious men and seminarians in ISPRs,Yearly deaths of non-priest religious men and seminarians in ISPRs,Yearly variation in number of non-priest religious men and seminarians in ISPRs for other reasons,Yearly variation in number of non-priest religious men and seminarians in ISPRs (overall balance),Non-priest religious members and seminarians in ISPRs for men
Clerical religious congregations,2017,53866,98,1182,95.7,181,85.8,1131,104.6,797,91,6357,86,12655,92.4,2870,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clerical religious congregations,2018,53622,97.6,1158,93.8,202,95.7,1101,101.9,749,85.5,6177,83.5,13209,96.5,2896,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clerical religious congregations,2019,53295,97,1140,92.3,164,77.7,1129,104.4,777,88.7,5971,80.7,13260,96.8,2751,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clerical religious congregations,2020,52371,95.3,1030,83.4,250,118.5,1563,144.6,773,88.2,5734,77.5,13055,95.3,2802,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clerical religious congregations,2021,52083,94.8,1263,102.3,205,97.2,1379,127.6,746,85.2,5502,74.4,12857,93.9,2701,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clerical religious congregations,2022,52897,96.3,1238,100.2,191,90.5,1150,106.4,724,82.6,5365,72.5,12649,92.4,2688,169,101,12924,500,51897,131,12649,6089,71266,4,702,14,3187,27,790,23,4041,0,0,0,0,0,0,0,0,97,12222,486,48710,104,11859,6066,67225,2688,169,2857,154,0,154,0,0,0,2534,169,2703,52083,1238,1150,191,-83,-186,51897,19105,2011,1246,786,240,-106,-367,18738
ISPRs (total),2017,122439,97.3,2468,93.6,397,110.6,2757,101.5,4439,92,27986,85.9,28238,94.5,7134,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISPRs (total),2018,121811,96.8,2457,93.2,452,125.9,2694,99.2,4609,95.5,27359,84,28755,96.2,7107,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISPRs (total),2019,121019,96.1,2468,93.6,374,104.2,2733,100.7,4617,95.7,26640,81.8,28636,95.8,6520,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISPRs (total),2020,118844,94.4,2151,81.6,437,121.7,3608,132.9,4806,99.6,25490,78.2,28677,96,6115,1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISPRs (total),2021,117455,93.3,2420,91.8,433,120.6,3316,122.1,4504,93.3,24988,76.7,28087,94,6012,1770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISPRs (total),2022,116706,92.7,2391,90.7,382,106.4,2738,109.8,5136,106.4,24297,74.6,27053,90.5,5811,1629,269,28636,1179,116706,533,27053,29433,174904,15,1136,51,4790,54,1082,102,6079,18,625,53,4331,1,594,177,5156,236,26875,1075,107585,478,25377,29154,163669,5811,1629,7440,202,14,216,480,0,480,5129,1615,6744,117455,2391,2738,382,-20,-749,116706,57579,4000,2417,1643,910,-123,-1093,56486
Lay religious congregations,2017,577,101.2,21,110.5,41,300,7,140,1961,90.6,12460,90,69,92,27,699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lay religious congregations,2018,583,102.3,8,42.1,41,0,8,160,1998,92.3,12115,87.5,74,98.7,29,689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lay religious congregations,2019,577,101.2,12,63.2,33,200,11,220,2047,94.6,11820,85.3,88,117.3,31,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lay religious congregations,2020,575,100.9,16,84.2,36,300,9,180,2114,97.7,11337,81.8,80,106.7,14,611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lay religious congregations,2021,577,101.2,3,15.8,57,0,6,120,2094,96.8,10993,79.4,70,93.3,14,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lay religious congregations,2022,577,101.2,6,31.6,56,100,8,160,2074,95.8,10677,77.1,45,60,13,583,39,2722,54,577,16,45,12751,13443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2722,54,577,16,45,12751,13443,13,583,596,0,0,0,0,0,0,13,583,596,577,6,8,1,3,0,577,13157,241,7,222,405,32,-361,12796
Orders,2017,54342,96,1004,93.2,172,139.8,1,98.3,1382,99.4,8508,82.8,13662,96.4,2360,1077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orders,2018,53837,95.1,1000,92.9,202,164.2,272,96.5,1565,112.5,8425,82,13583,95.9,2349,1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orders,2019,53407,94.4,1002,93,175,142.3,1271,96.4,1474,106,8244,80.3,13351,94.2,2254,1023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orders,2020,52311,92.4,824,76.5,148,120.3,1614,122.4,1600,115,7845,76.4,13562,95.7,2038,977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orders,2021,51405,90.8,894,83,171,139,1550,117.5,1354,97.3,7957,77.5,13223,93.3,2050,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orders,2022,50888,89.9,879,81.6,134,108.9,1246,94.5,2026,145.7,7738,75.3,12379,87.4,2052,834,83,10380,490,50888,313,12379,9764,73834,10,276,36,1025,27,119,79,1286,0,0,0,0,0,0,0,0,73,10104,454,49863,286,12260,9685,72548,2052,834,2886,28,14,42,0,0,0,2024,820,2844,51405,879,1246,134,-16,-517,50888,22534,1478,889,576,250,-154,-391,22143
Orders - canons regular,2017,1781,94,23,92,2,50,45,136.4,11,36.7,150,98,321,95.8,104,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orders - canons regular,2018,1773,93.6,35,140,2,50,36,109.1,9,30,140,91.5,294,87.8,110,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
